C,n,P,t,a,N,LN
-9.934468938,3.206613226,16639.27856,2.487975952,2.171342685,36252.04728,4.559332538
-9.568937876,2.857915832,12214.42886,2.641883768,2.117234469,112553.0313,5.051357196
-9.883967936,3.100801603,13681.36273,2.112825651,1.95490982,48526.90443,4.685982588
-9.725250501,2.982965932,13428.85772,2.274749499,2.493987976,55462.16724,4.743996836
-9.612224449,2.908416834,12743.48697,2.500801603,1.644288577,87516.73624,4.942091113
-9.888777555,3.095991984,15785.57114,2.561723447,2.017034068,57467.90365,4.759425355
-9.393386774,2.691983968,14871.74349,2.508817635,2.021042084,56721.55922,4.753748161
-9.718036072,2.918036072,13476.95391,2.422244489,2.339679359,78091.35219,4.892602943
-9.98256513,3.194589178,15821.64329,2.343687375,1.630260521,43474.5752,4.638235347
-9.888777555,3.091182365,15641.28257,2.653106212,1.538076152,69855.13811,4.844198356
-9.328456914,2.562124248,13765.53106,2.382164329,1.828657315,73095.44307,4.863890303
-9.79258517,3.074348697,12743.48697,2.444689379,1.806613226,83282.56881,4.920554112
-9.650701403,2.925250501,14823.64729,2.675551102,2.441883768,65519.2723,4.816369065
-9.407815631,2.691983968,13957.91583,2.260320641,1.868737475,53140.18414,4.725423055
-9.54488978,2.780961924,16290.58116,2.595390782,2.429859719,51798.40282,4.714316369
-9.614629259,2.879559118,12310.62124,2.656312625,2.145290581,117784.821,5.071089326
-9.684368737,2.966132265,14763.52705,2.782965932,2.487975952,72369.44448,4.859555239
-9.980160321,3.24749499,15124.2485,2.657915832,2.117234469,61742.96313,4.790587468
-9.742084168,3.002204409,15376.75351,2.431863727,1.51002004,50151.71895,4.700285823
-9.381362725,2.660721443,15076.1523,2.362925852,2.339679359,47020.09499,4.672283502
-9.530460922,2.785771543,14787.57515,2.271543086,1.556112224,48720.17259,4.687708818
-9.54488978,2.773747495,16278.55711,2.725250501,2.29759519,61691.22848,4.790223419
-9.410220441,2.682364729,14775.5511,2.702805611,1.992985972,75299.56264,4.876792454
-9.35490982,2.588577154,11084.16834,2.715631263,2.195390782,172978.2874,5.237991593
-9.775751503,3.05991984,14390.78156,2.422244489,1.646292585,56320.48052,4.750666351
-9.520841683,2.759318637,14559.11824,2.685170341,1.526052104,84432.45156,4.9265094
-9.92244489,3.177755511,11889.77956,2.736472946,2.273547094,147197.2848,5.167899799
-9.429458918,2.723246493,15629.25852,2.641883768,2.141282565,56372.84037,4.751069918
-9.299599198,2.564529058,12310.62124,2.12244489,1.818637275,67368.54984,4.828457199
-9.650701403,2.913226453,11925.8517,2.427054108,1.620240481,105281.1397,5.022350578
-10.01382766,3.2498998,15424.8497,2.210621242,2.205410822,33686.99526,4.527462276
